Id,ShiftType,StartTime,EndTime,Category
1,Mattina712,07:00,12:00,Mattina
2,Mattina713,07:00,13:00,Mattina
3,Mattina812,08:00,12:00,Mattina
4,Mattina813,08:00,13:00,Mattina
5,Mattina814,08:00,14:00,Mattina
6,Mattina913,09:00,13:00,Mattina
7,Mattina914,09:00,14:00,Mattina
8,Pomeriggio1317,13:00,17:00,Pomeriggio
9,Pomeriggio1318,13:00,18:00,Pomeriggio
10,Pomeriggio1319,13:00,19:00,Pomeriggio
11,Pomeriggio1417,14:00,17:00,Pomeriggio
12,Pomeriggio1418,14:00,18:00,Pomeriggio
13,Pomeriggio1419,14:00,19:00,Pomeriggio
14,Pomeriggio1420,14:00,20:00,Pomeriggio
15,Sera1723,17:00,23:00,Sera
16,Sera1823,18:00,23:00,Sera
17,Sera1923,19:00,23:00,Sera
18,Notte,23:00,07:00,Notte
19,Mattina812Pomeriggio1317,08:00,17:00,Spezzato
20,Mattina913Pomeriggio1417,09:00,17:00,Spezzato
21,Mattina913Pomeriggio1418,09:00,18:00,Spezzato
22,Custom,,,Custom
